"","region","time_period","strategy_code","difference_variable","difference_value","variable","value"
"137","mexico",34,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"138","mexico",35,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"139","mexico",4,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"140","mexico",5,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"141","mexico",6,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"142","mexico",7,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"143","mexico",8,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"144","mexico",9,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"145","brazil",0,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_gasification",0,"entc_capex",0
"146","brazil",1,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_gasification",0,"entc_capex",0
"147","brazil",10,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_gasification",0,"entc_capex",0
"148","brazil",11,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_gasification",0,"entc_capex",0
"149","brazil",12,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_gasification",0,"entc_capex",0
"150","brazil",13,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_gasification",0,"entc_capex",0
"151","brazil",14,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_gasification",0,"entc_capex",0
"152","brazil",15,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_gasification",0,"entc_capex",0
"153","brazil",16,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_gasification",0,"entc_capex",0
"154","brazil",17,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_gasification",0,"entc_capex",0
"155","brazil",18,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_gasification",0,"entc_capex",0
"156","brazil",19,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_gasification",0,"entc_capex",0
"157","brazil",2,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_gasification",0,"entc_capex",0
"158","brazil",20,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_gasification",0,"entc_capex",0
"159","brazil",21,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_gasification",0,"entc_capex",0
"160","brazil",22,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_gasification",0,"entc_capex",0
"161","brazil",23,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_gasification",0,"entc_capex",0
"162","brazil",24,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_gasification",0,"entc_capex",0
"163","brazil",25,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_gasification",0,"entc_capex",0
"164","brazil",26,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_gasification",0,"entc_capex",0
